condition,model,reranked,query_type,variation_type,query_id,query_path,category,relevant_count,relevant_catalog_item_ids,retrieved_catalog_item_ids,hits_top5,P@1,P@5,P@10,R@1,R@5,R@10,Hit@1,Hit@5,Hit@10,MRR,embedding_latency_ms,search_latency_ms,rerank_latency_ms,total_latency_ms
CLIP baseline — clean test,CLIP,False,clean,clean,test_q194,data/images/34138.jpg,Accessories,1,[35890],"[6166, 8271, 8273, 30503, 16059, 25375, 27994, 33456, 27995, 18507]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.89,17.54,0.043,130.46
CLIP baseline — clean test,CLIP,False,clean,clean,test_q195,data/images/24375.jpg,Apparel,1,[36445],"[34721, 13474, 18181, 9316, 10738, 33708, 31270, 30457, 1846, 4212]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9,17.33,0.043,131.27
CLIP baseline — clean test,CLIP,False,clean,clean,test_q196,data/images/10246.jpg,Accessories,1,[41353],"[41353, 42182, 41030, 1667, 42293, 5856, 5473, 30292, 22657, 1666]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.28,17.04,0.048,129.37
CLIP baseline — clean test,CLIP,False,clean,clean,test_q197,data/images/28082.jpg,Apparel,1,[41548],"[29879, 29894, 9331, 41548, 32788, 26604, 19202, 42107, 36400, 22279]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.25,112.59,17.52,0.044,130.16
CLIP baseline — clean test,CLIP,False,clean,clean,test_q198,data/images/9879.jpg,Apparel,1,[42196],"[42196, 31359, 31358, 16080, 11388, 14939, 12440, 31468, 41836, 41835]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.78,17.84,0.041,133.66
CLIP baseline — clean test,CLIP,False,clean,clean,test_q199,data/images/32589.jpg,Apparel,1,[42469],"[1472, 19232, 42469, 36657, 30603, 40121, 15145, 31995, 25580, 38464]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.3333,112.45,17.75,0.043,130.25
CLIP baseline — clean test,CLIP,False,clean,clean,test_q200,data/images/25392.jpg,Apparel,1,[42527],"[27957, 38703, 28126, 32615, 30907, 41213, 26409, 32198, 21445, 29403]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.77,17.76,0.041,131.57
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q001,data/images/26957.jpg,Apparel,1,[17],"[17, 1548, 31023, 7652, 37865, 29235, 25665, 41238, 31232, 28494]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.45,17.51,5.752,134.72
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q002,data/images/29726.jpg,Accessories,5,"[82, 83, 84, 85, 86]","[5840, 8092, 31920, 43371, 26532, 26540, 5029, 82, 5841, 5843]",0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,1.0,0.125,109.96,17.64,5.27,132.87
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q003,data/images/49660.jpg,Apparel,3,"[192, 193, 194]","[194, 40546, 17635, 35496, 13086, 22069, 10825, 20959, 8465, 22231]",1,1.0,0.2,0.1,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,114.21,17.28,5.227,136.71
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q004,data/images/58177.jpg,Accessories,1,[389],"[7242, 13439, 28888, 1223, 22733, 26073, 2634, 3774, 17836, 4780]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.36,17.29,5.263,134.92
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q005,data/images/30501.jpg,Apparel,2,"[835, 836]","[835, 35784, 12629, 39534, 1748, 31582, 29381, 20492, 41334, 30366]",1,1.0,0.2,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,108.04,17.54,5.034,130.62
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q006,data/images/27210.jpg,Apparel,1,[1271],"[1271, 1553, 1552, 9611, 9610, 9609, 29979, 26688, 26687, 14499]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.48,17.54,4.589,139.61
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q007,data/images/41402.jpg,Apparel,1,[1323],"[32640, 20588, 41702, 10506, 15813, 30852, 24619, 1321, 34915, 42443]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.19,17.4,4.991,133.59
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q008,data/images/46411.jpg,Apparel,1,[1372],"[18546, 23887, 4882, 12828, 15236, 11149, 39799, 2920, 15238, 12077]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.6,17.23,4.928,139.75
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q009,data/images/15354.jpg,Footwear,1,[1691],"[35012, 5389, 3327, 25238, 495, 489, 37687, 29992, 43569, 30014]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.58,17.56,4.869,152.02
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q010,data/images/29314.jpg,Accessories,2,"[1917, 1918]","[40020, 2114, 39872, 1918, 35451, 6921, 40383, 34020, 38727, 40131]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.25,108.73,17.46,5.077,131.26
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q011,data/images/43531.jpg,Apparel,1,[2151],"[16786, 2248, 28982, 27048, 31684, 41088, 7295, 7818, 15455, 7259]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,17.38,5.245,134.63
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q012,data/images/34650.jpg,Footwear,1,[2163],"[41227, 35745, 2163, 25221, 43849, 18799, 33432, 30257, 41226, 26868]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.3333,110.36,17.16,5.134,132.65
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q013,data/images/20054.jpg,Accessories,1,[2179],"[3309, 42581, 3340, 2179, 42170, 41424, 23840, 43648, 1490, 10249]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.25,112.55,17.38,4.737,134.67
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q014,data/images/58188.jpg,Accessories,1,[2183],"[7244, 21537, 10755, 39145, 3902, 25916, 14980, 34124, 1442, 34327]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.39,16.47,4.9,149.76
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q015,data/images/27870.jpg,Apparel,1,[2753],"[2753, 42450, 9056, 25409, 41340, 43045, 25407, 38807, 30726, 41489]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.88,18.19,5.256,141.33
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q016,data/images/49674.jpg,Accessories,4,"[2890, 2891, 2892, 2893]","[40992, 2893, 13178, 10987, 10351, 13183, 13753, 13184, 36013, 24930]",1,0.0,0.2,0.1,0.0,0.25,0.25,0.0,1.0,1.0,0.5,112.85,17.27,4.837,134.95
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q017,data/images/27209.jpg,Apparel,2,"[2992, 2993]","[2993, 39788, 39787, 31863, 28905, 28904, 27510, 7512, 7511, 18133]",1,1.0,0.2,0.1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,111.78,17.94,4.675,134.39
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q018,data/images/47734.jpg,Accessories,4,"[3124, 3125, 3126, 3127]","[23950, 17469, 2933, 2936, 34073, 37774, 5848, 3639, 24404, 4060]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.68,18.03,5.206,135.91
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q019,data/images/33995.jpg,Apparel,6,"[3202, 3203, 3204, 3205, 3206, 3207]","[18364, 14756, 28854, 25902, 22025, 33666, 17559, 24442, 2686, 19394]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.71,17.34,5.053,132.1
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q020,data/images/46878.jpg,Accessories,4,"[3376, 3373, 3374, 3375]","[26435, 2146, 1028, 28083, 17180, 32407, 6670, 13611, 3448, 33571]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.29,17.71,4.908,129.91
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q021,data/images/27693.jpg,Accessories,3,"[3729, 3730, 3731]","[3781, 3640, 30001, 6943, 5357, 26496, 37683, 3760, 20254, 4060]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.81,17.83,5.234,133.88
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q022,data/images/32162.jpg,Accessories,1,[4613],"[10064, 31594, 39367, 9404, 21521, 23620, 34291, 31153, 7337, 29181]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.52,17.77,5.09,152.39
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q023,data/images/51255.jpg,Accessories,2,"[4981, 4982]","[11173, 11431, 11432, 90, 4693, 27779, 11179, 38986, 11435, 29491]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.59,17.47,4.816,131.87
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q024,data/images/52884.jpg,Apparel,1,[5033],"[12083, 5033, 35442, 39594, 23117, 18835, 16224, 30470, 22222, 38341]",1,0.0,0.2,0.1,0.0,1.0,1.0,0.0,1.0,1.0,0.5,108.51,17.87,5.095,131.48
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q025,data/images/57991.jpg,Apparel,5,"[5280, 5281, 5277, 5278, 5279]","[7117, 36800, 27963, 6148, 10128, 31555, 1910, 33186, 6036, 31452]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.07,17.66,5.14,134.87
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q026,data/images/25914.jpg,Apparel,1,[5554],"[41598, 34564, 34282, 9378, 43956, 36844, 41754, 8652, 23885, 8651]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.42,17.3,4.716,130.43
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q027,data/images/39745.jpg,Apparel,1,[5683],"[5683, 9575, 4385, 4384, 5221, 5220, 36418, 21579, 21577, 21582]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.98,17.46,4.753,132.2
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q028,data/images/12130.jpg,Apparel,1,[5947],"[42203, 31009, 21160, 7804, 21892, 15805, 8309, 34409, 4672, 32162]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.69,17.44,4.948,142.08
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q029,data/images/48511.jpg,Apparel,5,"[6216, 6217, 6218, 6219, 6220]","[17715, 18364, 19295, 41192, 33219, 16937, 697, 30285, 32579, 18037]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.86,17.31,4.974,133.15
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q030,data/images/16538.jpg,Apparel,13,"[6308, 6309, 6310, 6311, 6312, 6313, 6314, 6315, 6316, 6317, 6318, 6319, 6320]","[41390, 24853, 17482, 7931, 7206, 35013, 9468, 8662, 34760, 31539]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.9,17.17,4.639,134.7
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q031,data/images/14808.jpg,Accessories,4,"[6404, 6405, 6406, 6407]","[23913, 21538, 34726, 8710, 23900, 16250, 25583, 33056, 18257, 23136]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.69,18.11,4.931,133.73
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q032,data/images/29607.jpg,Apparel,6,"[6578, 6579, 6580, 6581, 6582, 6583]","[10395, 10393, 13534, 13532, 4697, 6582, 6579, 4705, 4700, 10841]",0,0.0,0.0,0.2,0.0,0.0,0.3333,0.0,0.0,1.0,0.1667,111.86,17.58,4.83,134.27
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q033,data/images/54580.jpg,Apparel,2,"[6672, 6673]","[32437, 29987, 323, 30711, 15095, 6672, 12797, 6775, 20264, 10741]",0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,1.0,0.1667,111.57,18.16,4.946,134.69
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q034,data/images/14096.jpg,Apparel,1,[6740],"[25637, 24869, 14989, 35786, 20439, 949, 29481, 26638, 25996, 27957]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.84,17.87,4.743,132.46
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q035,data/images/10457.jpg,Apparel,1,[6747],"[27120, 28198, 16783, 27087, 8456, 15738, 22088, 30074, 22366, 30827]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.34,17.24,4.623,132.21
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q036,data/images/27999.jpg,Apparel,1,[7054],"[7054, 1868, 34253, 30762, 23501, 32521, 15061, 15062, 36019, 11817]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.2,17.6,4.921,135.72
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q037,data/images/47207.jpg,Footwear,2,"[7320, 7319]","[11789, 11788, 16272, 7320, 4583, 11777, 11775, 11786, 7319, 11774]",1,0.0,0.2,0.2,0.0,0.5,1.0,0.0,1.0,1.0,0.25,110.88,17.54,4.954,133.38
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q038,data/images/42239.jpg,Apparel,2,"[7416, 7415]","[2366, 1195, 8547, 8956, 34236, 23554, 34813, 36382, 21999, 3917]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.8,17.9,5.012,134.71
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q039,data/images/12996.jpg,Footwear,1,[7543],"[11084, 21424, 13716, 9293, 9149, 11656, 21668, 13706, 11517, 2863]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.93,17.52,4.94,134.39
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q040,data/images/54382.jpg,Accessories,4,"[7900, 7901, 7902, 7903]","[15503, 20170, 15509, 26791, 7902, 15162, 19039, 19781, 43851, 43]",1,0.0,0.2,0.1,0.0,0.25,0.25,0.0,1.0,1.0,0.2,111.94,17.24,5.052,134.23
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q041,data/images/39717.jpg,Apparel,2,"[7953, 7954]","[43101, 20913, 27656, 36436, 16245, 29876, 2247, 702, 32489, 840]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.68,17.28,4.826,135.79
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q042,data/images/23837.jpg,Footwear,1,[8268],"[8268, 5950, 29385, 1986, 42125, 7129, 10378, 41336, 43879, 25260]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.52,17.26,5.035,137.82
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q043,data/images/33602.jpg,Accessories,2,"[8395, 8396]","[5209, 5985, 31252, 5212, 11368, 26000, 19761, 19763, 11367, 19764]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.55,17.62,4.852,137.02
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q044,data/images/31723.jpg,Accessories,1,[8464],"[8464, 25501, 25508, 25509, 25505, 29350, 25507, 25502, 10218, 679]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.64,19.58,4.579,134.8
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q045,data/images/33074.jpg,Apparel,1,[8478],"[6102, 33622, 29416, 32467, 24248, 31802, 43397, 29659, 20333, 7661]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.49,17.66,4.633,154.78
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q046,data/images/42663.jpg,Apparel,2,"[8928, 8927]","[26655, 4387, 12397, 41171, 4394, 5460, 42028, 6755, 4395, 6749]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.88,17.49,5.03,153.4
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q047,data/images/17644.jpg,Footwear,1,[9286],"[3430, 18802, 41886, 17018, 16659, 40577, 23145, 652, 10006, 9286]",0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.1,115.29,16.95,4.815,137.06
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q048,data/images/50946.jpg,Apparel,2,"[9334, 9335]","[27508, 19216, 9335, 17238, 27507, 13052, 11109, 13051, 26378, 28084]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.3333,111.58,17.98,5.094,134.66
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q049,data/images/30610.jpg,Apparel,6,"[9428, 9429, 9430, 9431, 9432, 9433]","[19005, 21756, 36058, 36679, 17700, 9430, 43773, 26958, 36964, 38386]",0,0.0,0.0,0.1,0.0,0.0,0.1667,0.0,0.0,1.0,0.1667,107.98,17.92,4.739,130.65
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q050,data/images/25118.jpg,Accessories,1,[9614],"[9614, 4344, 16086, 37305, 6262, 16144, 4341, 36064, 16088, 16085]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.24,17.0,4.815,137.05
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q051,data/images/35208.jpg,Accessories,7,"[9847, 9848, 9849, 9850, 9851, 9852, 9853]","[9852, 9851, 9853, 24820, 9850, 4503, 4498, 9849, 21111, 6628]",4,1.0,0.8,0.5,0.1429,0.5714,0.7143,1.0,1.0,1.0,1.0,109.42,17.75,5.186,132.36
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q052,data/images/7869.jpg,Footwear,7,"[10336, 10337, 10331, 10332, 10333, 10334, 10335]","[10334, 10332, 10335, 10337, 10336, 10331, 16272, 36532, 4506, 10333]",5,1.0,1.0,0.7,0.1429,0.7143,1.0,1.0,1.0,1.0,1.0,109.85,17.59,4.985,132.42
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q053,data/images/29608.jpg,Apparel,4,"[10392, 10393, 10394, 10395]","[10394, 10395, 10393, 34123, 25772, 25771, 12046, 6582, 6579, 4697]",3,1.0,0.6,0.3,0.25,0.75,0.75,1.0,1.0,1.0,1.0,108.05,17.46,4.804,130.31
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q054,data/images/35465.jpg,Footwear,1,[10749],"[34448, 15635, 15981, 29648, 31406, 15637, 26906, 14555, 26583, 24339]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12,17.46,4.949,135.53
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q055,data/images/5721.jpg,Apparel,1,[10778],"[38258, 17628, 12707, 18372, 37085, 35566, 22563, 15892, 7386, 5420]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.87,18.01,4.908,130.79
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q056,data/images/22594.jpg,Apparel,1,[10836],"[26853, 38668, 17545, 9794, 32460, 26856, 34538, 32914, 21051, 21591]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.25,17.56,5.105,134.92
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q057,data/images/53002.jpg,Apparel,4,"[11129, 11130, 11131, 11132]","[39683, 17907, 23117, 10142, 12084, 26527, 14786, 35710, 18687, 14239]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.62,17.46,4.981,137.06
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q058,data/images/29467.jpg,Accessories,3,"[11180, 11181, 11182]","[11852, 11850, 11843, 11182, 23129, 7640, 2396, 24283, 7183, 1060]",1,0.0,0.2,0.1,0.0,0.3333,0.3333,0.0,1.0,1.0,0.25,116.04,18.0,5.061,139.1
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q059,data/images/40258.jpg,Apparel,1,[11262],"[11262, 43899, 40523, 35624, 21336, 44021, 41874, 41670, 16029, 10769]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.38,18.21,4.995,138.58
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q060,data/images/36446.jpg,Footwear,1,[11286],"[11286, 34531, 36879, 35834, 36514, 5959, 25758, 28565, 28742, 31022]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.45,17.14,4.959,132.54
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q061,data/images/22404.jpg,Apparel,1,[11402],"[24120, 9489, 9486, 24473, 16368, 33961, 9482, 3411, 8771, 24715]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.46,17.27,5.073,132.81
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q062,data/images/15569.jpg,Footwear,1,[11427],"[37631, 42165, 2212, 2207, 40384, 32570, 2202, 42256, 35228, 11253]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.55,17.37,5.03,131.95
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q063,data/images/17512.jpg,Apparel,1,[11563],"[15385, 15383, 10729, 11794, 16652, 15386, 26785, 15265, 42084, 11793]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.57,17.59,4.931,132.09
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q064,data/images/44408.jpg,Footwear,1,[11720],"[14884, 28000, 43268, 6989, 41297, 28031, 27965, 29316, 11861, 14243]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.04,17.31,5.01,133.36
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q065,data/images/16888.jpg,Accessories,4,"[11890, 11891, 11892, 11893]","[11892, 23973, 19248, 43000, 6488, 15001, 11643, 21224, 912, 9029]",1,1.0,0.2,0.1,0.25,0.25,0.25,1.0,1.0,1.0,1.0,109.9,21.53,4.989,136.42
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q066,data/images/45949.jpg,Apparel,1,[12094],"[11470, 803, 11468, 26096, 4660, 29474, 41088, 17556, 20960, 34068]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.54,16.68,5.054,137.28
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q067,data/images/29837.jpg,Apparel,1,[12152],"[18762, 36143, 19607, 23418, 21156, 21613, 9468, 1105, 37263, 22571]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.08,17.26,4.635,133.97
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q068,data/images/12238.jpg,Apparel,2,"[12508, 12509]","[41153, 822, 38532, 43428, 15219, 15217, 3928, 23121, 10321, 21874]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.9,17.47,5.144,159.52
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q069,data/images/11084.jpg,Apparel,11,"[12544, 12545, 12535, 12536, 12537, 12538, 12539, 12540, 12541, 12542, 12543]","[12538, 28190, 28189, 28564, 7598, 39270, 20017, 24287, 12048, 4090]",1,1.0,0.2,0.1,0.0909,0.0909,0.0909,1.0,1.0,1.0,1.0,130.95,16.67,4.608,152.23
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q070,data/images/35409.jpg,Footwear,7,"[12757, 12758, 12759, 12760, 12761, 12762, 12763]","[13858, 13849, 13850, 13856, 13853, 39992, 12761, 13854, 2137, 12992]",0,0.0,0.0,0.1,0.0,0.0,0.1429,0.0,0.0,1.0,0.1429,108.72,18.08,4.898,131.7
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q071,data/images/15000.jpg,Apparel,1,[12780],"[12780, 17536, 40418, 13801, 29691, 42636, 9522, 10652, 33389, 4963]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.33,17.9,4.86,132.09
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q072,data/images/53043.jpg,Apparel,3,"[12848, 12846, 12847]","[4069, 5752, 8866, 31933, 5751, 18424, 29791, 10161, 12847, 13651]",0,0.0,0.0,0.1,0.0,0.0,0.3333,0.0,0.0,1.0,0.1111,108.39,18.01,5.211,131.61
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q073,data/images/39035.jpg,Accessories,5,"[13195, 13196, 13197, 13198, 13199]","[35364, 13197, 11981, 14755, 13198, 16187, 16193, 15891, 37807, 14249]",2,0.0,0.4,0.2,0.0,0.4,0.4,0.0,1.0,1.0,0.5,115.28,17.01,4.496,136.78
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q074,data/images/16824.jpg,Apparel,4,"[13300, 13301, 13302, 13303]","[39980, 11230, 15812, 19893, 9577, 38605, 34643, 13303, 42917, 36191]",0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,1.0,0.125,113.39,17.42,4.739,135.55
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q075,data/images/53878.jpg,Footwear,2,"[13521, 13522]","[7969, 34463, 29859, 13386, 13522, 42128, 26057, 24785, 27856, 38001]",1,0.0,0.2,0.1,0.0,0.5,0.5,0.0,1.0,1.0,0.2,114.03,17.32,4.961,136.31
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q076,data/images/59919.jpg,Apparel,1,[13802],"[13802, 12795, 33559, 11126, 12801, 35461, 25451, 40019, 12797, 10741]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.54,17.51,4.895,135.95
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q077,data/images/16807.jpg,Apparel,12,"[13931, 13932, 13933, 13934, 13935, 13936, 13937, 13938, 13939, 13940, 13941, 13942]","[1, 16903, 8662, 31398, 7998, 12710, 12476, 4267, 17482, 42859]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.46,17.4,4.877,133.74
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q078,data/images/17787.jpg,Accessories,4,"[14000, 14001, 14002, 14003]","[22577, 14003, 19406, 14002, 3447, 19515, 10029, 14001, 13914, 19517]",2,0.0,0.4,0.3,0.0,0.5,0.75,0.0,1.0,1.0,0.5,111.66,17.63,5.003,134.29
CLIP + reranking — clean test,CLIP,True,clean,clean,test_q079,data/images/59917.jpg,Apparel,2,"[14236, 14237]","[33559, 35461, 16834, 3982, 13563, 13564, 13566, 40019, 38378, 40042]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.99,17.52,5.11,134.62
